學校代碼,學校名稱,高級中等學校原住民一年級學生數,高級中等學校原住民二年級學生數,高級中等學校原住民三年級學生數,高級中等學校原住民四年級學生數,高級中等學校原住民延修生學生數,高級中等學校上學年度原住民畢業生人數
14364,市立竹圍高中,5,7,2,0,0,3
14381,市立北大高級中學,7,5,6,0,0,5
20301,國立蘭陽女中,15,10,19,0,0,17
20302,國立宜蘭高中,21,19,24,0,0,14
20308,國立羅東高中,17,24,15,0,0,18
21301,私立慧燈高中,2,2,4,0,0,5
21310,私立中道高中,2,5,8,0,0,11
24322,縣立南澳高中,54,53,36,0,0,49
24325,縣立慈心華德福實中,3,0,0,0,0,1
30305,國立中央大學附屬中壢高中,18,19,14,0,0,18
31301,私立漢英高中,7,2,3,0,0,2
31309,桃園市育達高中,71,78,75,0,0,73
31310,私立六和高中,2,5,5,0,0,4
31311,桃園市復旦高中,2,3,3,0,0,3
31312,桃園市治平高中,107,84,69,0,0,84
31313,桃園市振聲高中,24,33,23,0,0,31
31317,私立光啟高中,33,30,35,0,0,35
31318,桃園市啟英高中,176,164,139,0,0,126
31319,桃園市清華高中,5,13,8,0,0,7
31320,桃園市新興高中,56,44,55,0,0,39
